"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","","","123","0","32","0","0"
"cardano","api-transactions","","23","0","13","0","1"
"cardano","api-stake-key-controller","Get Top Delegators","12","0","0","0","0"
"cardano","api-addresses","","13","0","10","0","0"
"cardano","api-delegation","","17","0","3","0","0"
"cardano","api-block","","12","0","20","0","0"
"cardano","api-epoch","GET: Get block list of epoch by its no","9","0","5","0","0"
"cardano","api-pools","","30","0","2","0","0"
"cardano","api-policy_controller","Get holders by policies","6","0","0","0","0"
"cardano","api-stake-key-controller","Get Data For Stake Registration","12","0","0","0","0"
"cardano","api-epoch","GET: Epoch All List","7","5","1","0","0"
"cardano","api-epoch","GET: Get a epoch detail by its no","0","1","5","0","0"
"cardano","api-policy_controller","Get tokens by policies","7","0","0","0","0"
"cardano","api-policy_controller","Get a policy detail","0","0","6","0","0"
"cardano","api-contract","","2","0","4","0","0"
"cardano","api-stake-key-controller","Get Data For Stake De Registration","12","0","0","0","0"
"cardano","api-epoch","GET: Get current epoch","0","0","1","0","0"
"cardano","api-stake-key-controller","Get active stake, live stake and total stake","1","0","0","0","0"
